Class,Day,Slot,Start_Time,End_Time
Class A,Monday,Slot 1,09:00,10:00
Class A,Monday,Slot 2,10:15,11:15
Class A,Monday,Slot 3,11:30,12:30
Class A,Monday,Slot 4,13:30,14:30
Class A,Monday,Slot 5,14:45,15:45
Class A,Tuesday,Slot 1,09:00,10:00
Class A,Tuesday,Slot 2,10:15,11:15
Class A,Tuesday,Slot 3,11:30,12:30
Class A,Tuesday,Slot 4,13:30,20:30
Class A,Wednesday,Slot 1,09:00,10:14
Class A,Wednesday,Slot 2,10:15,11:15
Class A,Wednesday,Slot 3,11:30,12:30
Class A,Wednesday,Slot 4,13:30,14:30
Class A,Wednesday,Slot 5,14:45,15:45
Class A,Wednesday,Slot 6,16:00,17:00
Class A,Thursday,Slot 1,09:00,10:00
Class A,Thursday,Slot 2,10:15,11:15
Class A,Thursday,Slot 3,11:30,12:30
Class A,Thursday,Slot 4,13:30,14:30
Class A,Friday,Slot 1,09:00,14:00
Class A,Friday,Slot 2,10:15,11:15
Class A,Saturday,Slot 3,11:30,12:30
Class A,Saturday,Slot 4,13:30,14:30
Class A,Saturday,Slot 5,21:00,23:45
Class B,Monday,Slot 1,08:30,09:30
Class B,Monday,Slot 2,09:45,10:45
Class B,Monday,Slot 3,11:00,12:00
Class B,Monday,Slot 4,13:00,14:00
Class B,Monday,Slot 5,14:15,15:15
Class B,Tuesday,Slot 1,08:30,09:30
Class B,Tuesday,Slot 2,09:45,10:45
Class B,Tuesday,Slot 3,11:00,12:00
Class B,Tuesday,Slot 4,13:00,14:00
Class B,Tuesday,Slot 5,14:15,15:15
Class B,Tuesday,Slot 6,15:30,16:30
Class B,Wednesday,Slot 1,08:30,09:30
Class B,Wednesday,Slot 2,09:45,10:45
Class B,Wednesday,Slot 3,11:00,12:00
Class B,Wednesday,Slot 4,13:00,14:00
Class B,Thursday,Slot 1,08:30,09:30
Class B,Thursday,Slot 2,09:45,10:45
Class B,Thursday,Slot 3,11:00,12:00
Class B,Thursday,Slot 4,13:00,14:00
Class B,Thursday,Slot 5,14:15,15:15
Class B,Friday,Slot 1,06:30,09:30
Class B,Friday,Slot 2,09:45,10:45
Class B,Friday,Slot 3,11:00,12:00
Class B,Friday,Slot 4,13:00,14:00
Class B,Friday,Slot 5,14:15,15:15
Class B,Friday,Slot 6,15:30,16:30
Class C,Monday,Slot 1,08:30,09:30
Class C,Monday,Slot 2,09:45,10:45
Class C,Monday,Slot 3,11:00,12:00
Class C,Monday,Slot 4,13:00,14:00
Class C,Monday,Slot 5,14:15,15:15
Class C,Tuesday,Slot 1,08:30,09:30
Class C,Tuesday,Slot 2,09:45,10:45
Class C,Tuesday,Slot 3,11:00,12:00
